word/phrase,value,class
translatable,hr,1
instance,hr,15
real-estate,hr,1
exist,hr,2
eg,hr,1
perceived,hr,1
stem,hr,4
collective,hr,2
gathering,hr,1
music,hr,1
concert,hr,1
picnic,hr,1
natural,hr,1
landscape,hr,2
ecological,hr,1
system,hr,3
comprising,hr,1
stream,hr,1
valley,hr,1
edge,hr,1
forest,hr,1
stand,hr,2
taken,hr,4
together,hr,1
figure,hr,2
prominently,hr,1
though,hr,9
necessarily,hr,1
related,hr,2
directly,hr,4
akin,hr,1
looking,hr,3
telescope,hr,1
co-exist,hr,1
compete,hr,1
think,hr,1
urban,hr,5
neighbourhood,hr,2
threat,hr,2
redevelopment,hr,1
agricultural,hr,2
land,hr,1
threaten,hr,1
level,hr,2
complication,hr,2
arise,hr,1
real,hr,3
cleavage,hr,2
overarching,hr,2
proxy,hr,2
potential,hr,2
attached,hr,1
reducible,hr,1
plural,hr,2
foundational,hr,2
idea,hr,4
idiosyncratic,hr,2
irreducible,hr,1
expressed,hr,3
whereas,hr,1
classified,hr,1
significant,hr,2
derive,hr,1
individualised,hr,1
definition,hr,3
held,hr,1
collectively,hr,1
individually,hr,1
lens,hr,6
multiplies,hr,1
aspect,hr,10
celebrating,hr,1
contingent,hr,2
constructed,hr,1
valorising,hr,1
object,hr,1
tends,hr,2
discipline,hr,2
reduce,hr,1
complexity,hr,2
vis-à-vis,hr,2
general,hr,3
tend,hr,3
present,hr,4
marketuse,hr,1
fraction,hr,2
total,hr,1
collection,hr,1
rather,hr,5
totalising,hr,2
encompassing,hr,1
type,hr,3
logic,hr,6
behind,hr,2
clear,hr,1
product,hr,1
neoclassical,hr,3
standardising,hr,1
enable,hr,1
quantification,hr,4
universal,hr,2
application,hr,3
run,hr,3
cross-purpose,hr,1
elusive,hr,2
argued,hr,3
studied,hr,1
isolation,hr,2
around,hr,3
yield,hr,6
private,hr,8
say,hr,2
beyond-market,hr,1
yielded,hr,1
mostly,hr,3
would,hr,9
suffice,hr,1
relying,hr,1
estate,hr,1
house,hr,1
creates,hr,1
outside,hr,2
process,hr,5
cannot,hr,7
priced,hr,4
forming,hr,1
national,hr,8
pride,hr,1
feeling,hr,2
measured,hr,3
difficulty,hr,2
whole,hr,2
methodological,hr,2
devised,hr,2
account,hr,3
subfields,hr,1
test,hr,1
flow,hr,2
easy,hr,2
measure,hr,3
based,hr,5
data,hr,4
traded,hr,3
admission,hr,1
difficult,hr,4
standard,hr,1
metric,hr,1
since,hr,4
ranked,hr,1
shared,hr,1
scale,hr,1
dollar,hr,1
comparing,hr,1
apple,hr,1
orange,hr,1
sophisticated,hr,3
characterising,hr,2
must,hr,4
sought,hr,2
versus,hr,2
problem,hr,13
solving,hr,8
tradition,hr,4
play,hr,2
quite,hr,3
mode,hr,1
work,hr,14
correspondingly,hr,1
highlighting,hr,1
help,hr,3
understand,hr,2
fixing,hr,5
wall,hr,1
matching,hr,1
correct,hr,1
mortar,hr,1
determining,hr,2
chronology,hr,1
etc,hr,1
clearly,hr,3
tackled,hr,1
expert,hr,4
whose,hr,1
knowledge,hr,1
skill,hr,1
according,hr,2
scientific,hr,1
craft,hr,2
optimal,hr,1
solution,hr,2
mentality,hr,1
perfectly,hr,1
attuned,hr,1
architectural,hr,3
poorly,hr,1
suited,hr,1
arising,hr,2
province,hr,2
technician,hr,1
scientist,hr,2
worker,hr,1
manager,hr,2
planner,hr,1
identify,hr,1
faced,hr,2
predispose,hr,1
askance,hr,1
extent,hr,2
go,hr,2
venture,hr,2
less-comfortable,hr,1
politics,hr,2
criticism,hr,1
much,hr,4
observation,hr,1
fabric-centred,hr,1
western,hr,1
recently,hr,1
far,hr,2
concerned,hr,6
probing,hr,1
remains,hr,5
equally,hr,1
matter,hr,8
cooperation,hr,1
among,hr,6
profession,hr,1
garnering,hr,1
popular,hr,1
support,hr,6
consulting,hr,1
emphasise,hr,1
training,hr,1
remain,hr,2
firmly,hr,1
rooted,hr,1
confidence,hr,1
restricted,hr,1
associated,hr,1
barely,hr,1
acknowledged,hr,1
accepted,hr,1
disdain,hr,1
ignorance,hr,1
evidence,hr,1
failure,hr,2
embrace,hr,1
fully,hr,3
importance,hr,4
pragmatic,hr,1
influence,hr,3
however,hr,4
reluctant,hr,1
might,hr,1
admit,hr,1
politician,hr,1
bureaucrat,hr,1
investor,hr,1
owner,hr,3
outsider,hr,1
pricelessness,hr,2
create,hr,1
resistance,hr,1
dealing,hr,2
let,hr,1
alone,hr,2
adopting,hr,3
academic,hr,2
pricing,hr,2
anathema,hr,2
measurement,hr,2
financial,hr,6
deemed,hr,1
secondary,hr,2
cultivating,hr,1
memory,hr,1
repairing,hr,1
fabric,hr,3
safeguarding,hr,1
behalf,hr,1
future,hr,5
intellectually,hr,1
tenuous,hr,1
art,hr,7
sustained,hr,1
creating,hr,5
conservationist,hr,1
disciplinary,hr,1
hegemony,hr,1
practically,hr,3
longer,hr,1
defensible,hr,1
durable,hr,1
kept,hr,1
distance,hr,1
marginal,hr,2
rarely,hr,3
regional,hr,1
economy,hr,3
contrary,hr,2
growth,hr,1
heritage-reliant,hr,1
sector,hr,8
suggest,hr,1
growing,hr,3
relatively,hr,1
small,hr,1
cadre,hr,1
interesting,hr,1
case,hr,3
raise,hr,2
public-good,hr,4
provision,hr,2
challenge,hr,4
posed,hr,2
museum,hr,1
plastic,hr,1
relates,hr,2
created,hr,2
