word/phrase,value,class
journal,ip,7
intellectual,ip,41
property,ip,42
law,ip,56
practice,ip,6
vol,ip,5
transboundary,ip,34
knowledge,ip,54
regional,ip,39
cooperation,ip,39
protection,ip,80
traditional,ip,56
kenya,ip,55
harriet,ip,7
deacon*,ip,1
introduction,ip,1
cultural,ip,30
expression,ip,34
act,ip,66
hereafter,ip,6
passed,ip,3
aim,ip,3
provide,ip,9
framework,ip,6
promotion,ip,4
giving,ip,1
effect,ip,3
article,ip,5
revised,ip,6
constitution,ip,8
question,ip,7
whether,ip,11
sui,ip,8
generis,ip,8
controversial,ip,1
revisit,ip,1
deserves,ip,1
merit,ip,1
method,ip,1
developing,ip,12
international,ip,36
legal,ip,6
instrument,ip,16
instead,ip,2
consider,ip,2
arise,ip,3
becomes,ip,1
reality,ip,1
national,ip,57
level,ip,24
example,ip,16
commentary,ip,2
focused,ip,1
provision,ip,28
implementation,ip,6
also,ip,22
important,ip,8
cross-border,ip,30
much,ip,2
shared,ip,6
across,ip,10
boundary,ip,3
nature,ip,3
evident,ip,1
africa,ip,23
nineteenth-century,ip,1
colonial,ip,1
administration,ip,8
negotiated,ip,2
many,ip,6
border,ip,8
without,ip,3
reference,ip,2
local,ip,9
settlement,ip,2
pattern,ip,1
right,ip,44
highly,ip,2
likely,ip,6
infringed,ip,2
third,ip,5
party,ip,11
misappropriation,ip,3
large,ip,1
multinationals,ip,1
global,ip,5
north,ip,2
african,ip,30
industry,ip,3
grows,ip,1
within,ip,14
thanks,ip,1
peter,ip,1
munyi,ip,1
john,ip,1
harrington,ip,1
valuable,ip,1
comment,ip,2
marisella,ip,1
ouma,ip,1
useful,ip,2
suggestion,ip,1
error,ip,1
remain,ip,2
responsibility,ip,7
author,ip,3
email,ip,1
assented,ip,1
august,ip,1
entered,ip,3
force,ip,3
september,ip,3
somewhat,ip,1
confusingly,ip,1
collectively,ip,3
referred,ip,4
purpose,ip,3
difference,ip,3
signiﬁcant,ip,5
published,ip,2
oxford,ip,3
university,ip,7
press,ip,5
reserved,ip,1
deacon,ip,6
independent,ip,1
scholar,ip,1
visiting,ip,1
research,ip,2
fellow,ip,1
open,ip,2
ferguson,ip,1
centre,ip,1
asian,ip,4
study,ip,2
aside,ip,2
history,ip,1
cantab,ip,1
management,ip,6
queen,ip,1
mary,ip,2
london,ip,1
deﬁned,ip,3
legislation,ip,14
infringement,ip,4
take,ip,5
place,ip,3
however,ip,9
differ,ip,3
widely,ip,3
state,ip,58
