word/phrase,value,class
frame,hr,1
acceptable,hr,1
march,hr,11
felt,hr,1
threatened,hr,3
demand,hr,2
affidavit,hr,9
dated,hr,2
october,hr,9
dr,hr,3
robert,hr,4
neill,hr,8
quote,hr,1
passage,hr,1
letter,hr,2
received,hr,1
finally,hr,1
let,hr,1
make,hr,13
crystal,hr,1
clear,hr,3
constant,hr,1
touch,hr,1
fully,hr,3
discussed,hr,1
matter,hr,7
detail,hr,1
mind,hr,2
positive,hr,1
outcome,hr,5
choose,hr,1
imperil,hr,1
whatever,hr,1
personal,hr,2
developed,hr,1
rest,hr,1
resigned,hr,1
ground,hr,3
impossible,hr,1
carry,hr,1
statutory,hr,3
light,hr,2
pressure,hr,2
mr,hr,17
sign,hr,1
effective,hr,1
april,hr,9
reappointments,hr,1
appointee,hr,1
roy,hr,1
heenan,hr,2
senior,hr,1
partner,hr,1
blaikie,hr,1
richard,hr,2
currie,hr,1
inc,hr,1
allison,hr,1
food,hr,1
limited,hr,1
special,hr,4
meeting,hr,2
passed,hr,3
conclude,hr,1
negotiation,hr,1
regarding,hr,12
informed,hr,1
conclusion,hr,3
reached,hr,1
basis,hr,3
research,hr,2
evidence,hr,13
found,hr,23
support,hr,5
end,hr,9
entered,hr,2
discussion,hr,2
mediation,hr,1
resolve,hr,4
london,hr,6
stated,hr,2
painful,hr,1
behalf,hr,5
drastic,hr,1
step,hr,1
initiating,hr,1
bear,hr,1
grandfather,hr,3
name,hr,1
responded,hr,2
filing,hr,1
july,hr,4
agreed,hr,4
binding,hr,1
arbitration,hr,7
honorable,hr,1
peter,hr,3
corey,hr,3
justice,hr,8
supreme,hr,3
named,hr,1
arbitrator,hr,47
heard,hr,5
video,hr,1
conference,hr,1
result,hr,6
arbitrate,hr,1
discontinued,hr,2
covered,hr,1
august,hr,5
judy,hr,1
budovitch,hr,1
alleging,hr,2
misrepresentation,hr,3
later,hr,2
consolidated,hr,2
consent,hr,1
june,hr,15
plaintiff,hr,14
defendant,hr,7
asserted,hr,3
counterclaim,hr,11
ancillary,hr,1
september,hr,7
claiming,hr,3
indemnification,hr,2
cost,hr,8
application,hr,6
dismissed,hr,4
grant,hr,7
fact,hr,11
remained,hr,2
prevent,hr,6
granting,hr,1
capacity,hr,1
representative,hr,1
breached,hr,8
dishonesty,hr,1
willful,hr,1
neglect,hr,1
default,hr,1
must,hr,5
trial,hr,2
december,hr,6
provincial,hr,4
government,hr,4
announced,hr,2
assistance,hr,2
way,hr,2
interestfree,hr,1
five-year,hr,1
operating,hr,5
promised,hr,1
increase,hr,1
future,hr,2
ceased,hr,1
annual,hr,1
funding,hr,5
donation,hr,1
explained,hr,1
help,hr,1
many,hr,3
educational,hr,1
sporting,hr,1
social,hr,1
institution,hr,1
philanthropic,hr,1
charitable,hr,2
long,hr,5
continue,hr,4
normally,hr,1
used,hr,2
seized,hr,1
withdrawn,hr,1
estimated,hr,3
hundred,hr,1
thousand,hr,1
dollar,hr,1
compel,hr,1
attend,hr,1
examination,hr,3
discovery,hr,6
sought,hr,4
intended,hr,9
commence,hr,1
prevented,hr,2
borrowing,hr,1
organization,hr,1
standing,hr,2
pursue,hr,1
although,hr,5
expressly,hr,3
allow,hr,3
borrow,hr,2
money,hr,3
interpreted,hr,2
permit,hr,5
particularly,hr,1
defend,hr,1
substantial,hr,2
derelict,hr,2
manage,hr,3
control,hr,3
administer,hr,3
resist,hr,3
advanced,hr,2
requires,hr,2
infer,hr,2
budget,hr,1
fulfill,hr,1
set,hr,3
doesnt,hr,1
authorize,hr,2
find,hr,4
power,hr,2
reasonably,hr,2
implied,hr,3
circumstance,hr,1
faced,hr,1
finding,hr,8
tie,hr,1
hand,hr,1
manner,hr,1
cannot,hr,2
conceive,hr,1
legislature,hr,1
involved,hr,1
creation,hr,1
corporation,hr,1
mandate,hr,1
provided,hr,4
respect,hr,3
incurred,hr,1
subsequent,hr,3
challenge,hr,2
place,hr,5
lower,hr,1
leave,hr,1
portion,hr,2
gave,hr,3
option,hr,2
decide,hr,1
yet,hr,2
hearing,hr,8
took,hr,2
day,hr,3
award,hr,7
issued,hr,1
honourable,hr,1
cory,hr,2
remain,hr,3
permanent,hr,4
valid,hr,2
defense,hr,12
divided,hr,1
category,hr,1
located,hr,1
prior,hr,3
opening,hr,33
remaining,hr,1
acquired,hr,4
postopening,hr,5
several,hr,2
providing,hr,1
compensation,hr,1
converted,hr,9
concluded,hr,10
perfected,hr,5
irrevocable,hr,3
three,hr,3
element,hr,1
satisfied,hr,2
intention,hr,19
donate,hr,4
acceptance,hr,4
sufficient,hr,3
delivery,hr,5
established,hr,4
various,hr,5
catalog,hr,9
witness,hr,7
published,hr,1
considered,hr,4
depth,hr,1
reference,hr,1
equipped,hr,1
disagreed,hr,2
relying,hr,7
alberta,hr,1
pacific,hr,2
lamont,hr,2
et,hr,2
al,hr,2
hearsay,hr,3
weight,hr,1
situation,hr,2
object,hr,1
correct,hr,2
approved,hr,1
commissioned,hr,1
specifically,hr,1
praised,hr,1
adopted,hr,1
following,hr,5
applying,hr,2
highest,hr,1
proof,hr,2
intent,hr,2
give,hr,3
including,hr,4
confirmed,hr,1
alone,hr,1
even,hr,3
greater,hr,1
extent,hr,1
whole,hr,2
together,hr,1
context,hr,1
cumulative,hr,1
effect,hr,2
clearly,hr,5
irrefutably,hr,1
directing,hr,1
addition,hr,5
correspondence,hr,2
trust,hr,14
similar,hr,2
around,hr,1
demonstrate,hr,1
prepared,hr,4
reinforce,hr,1
preparation,hr,1
overseen,hr,1
emphasized,hr,1
extraordinary,hr,1
care,hr,3
avoid,hr,1
mistake,hr,1
identified,hr,3
designated,hr,2
indeed,hr,1
reliance,hr,5
designation,hr,2
questioned,hr,1
loaned,hr,5
third,hr,2
acknowledge,hr,2
contribution,hr,1
additionally,hr,1
victoria,hr,1
caution,hr,1
attribution,hr,1
saw,hr,1
distinguish,hr,1
finestone,hr,2
custom,hr,1
form,hr,2
contained,hr,2
information,hr,3
source,hr,2
trustworthy,hr,1
law,hr,13
repose,hr,1
confidence,hr,1
officer,hr,1
presumes,hr,1
discharge,hr,3
accuracy,hr,1
fidelity,hr,1
furthermore,hr,1
four-part,hr,1
test,hr,2
admissibility,hr,1
exception,hr,3
supplied,hr,1
exporter,hr,1
official,hr,1
function,hr,1
serve,hr,1
inspection,hr,1
continuing,hr,1
placed,hr,2
emphasis,hr,1
thomas,hr,3
forrestall,hr,4
maintained,hr,1
accession,hr,6
remarked,hr,1
unfortunate,hr,2
led,hr,2
believe,hr,1
forrestalls,hr,1
relatively,hr,1
unimportant,hr,1
counsel,hr,1
ample,hr,1
opportunity,hr,1
cross-examine,hr,1
according,hr,4
notation,hr,1
sheet,hr,1
altered,hr,1
change,hr,5
expert,hr,1
interpretation,hr,2
deed,hr,5
acted,hr,2
presenting,hr,1
clause,hr,4
permitted,hr,2
wording,hr,1
amended,hr,4
january,hr,4
purchase,hr,5
museum,hr,3
natural,hr,1
meaning,hr,1
indicated,hr,3
amendment,hr,2
supported,hr,1
transfer,hr,4
common,hr,4
possession,hr,3
contemporaneous,hr,1
expression,hr,1
continues,hr,1
completed,hr,3
revocable,hr,1
unless,hr,1
reserved,hr,1
revocation,hr,1
making,hr,2
principle,hr,5
delivered,hr,2
accepted,hr,3
revoked,hr,1
reinforced,hr,1
inure,hr,1
benefit,hr,5
accordingly,hr,1
neither,hr,1
require,hr,2
language,hr,1
case,hr,4
expressed,hr,1
displayed,hr,3
latest,hr,1
reasonable,hr,1
request,hr,2
entitled,hr,1
paid,hr,2
value,hr,7
conversion,hr,3
payment,hr,2
shipped,hr,1
specific,hr,1
recalled,hr,1
aspect,hr,1
potential,hr,1
loss,hr,3
one-third,hr,2
recall,hr,1
commented,hr,2
valuable,hr,2
example,hr,2
genesis,hr,1
lucien,hr,1
irrevocably,hr,1
acknowledged,hr,3
shortly,hr,1
beginning,hr,1
litigation,hr,2
believed,hr,1
owned,hr,3
admission,hr,2
allowed,hr,1
retain,hr,2
severely,hr,1
prejudiced,hr,1
resulting,hr,1
delay,hr,4
commencing,hr,1
proceeding,hr,1
waiver,hr,1
acquiescence,hr,1
estoppel,hr,8
laches,hr,3
denying,hr,1
addressing,hr,1
large,hr,2
failure,hr,4
advise,hr,1
giving,hr,1
loaning,hr,1
carefully,hr,1
concealed,hr,4
assistant,hr,1
regard,hr,2
disclose,hr,3
importance,hr,2
crystallize,hr,1
prejudice,hr,2
testimony,hr,1
affected,hr,1
automatically,hr,1
create,hr,1
paramount,hr,1
