word/phrase,value,class
theme,2,hr
decision,2,hr
captured,2,hr
spirit,2,hr
facilitating,2,hr
integration,2,hr
draw,2,hr
card,2,hr
expressed,2,hr
wanted,2,hr
festival,2,hr
bennett,2,hr
frow,2,hr
gallery,2,hr
tour,2,hr
increased,2,hr
identifies,2,hr
undertaken,2,hr
natural,2,hr
indicated,2,hr
wadlata,2,hr
principle,2,hr
commissioned,2,hr
science,2,hr
communication,2,hr
technology,2,hr
print,1,hr
homepage,1,hr
httpwwwtandfonlinecomloirjhs,1,hr
cite,1,hr
link,1,hr
httpsdoiorg,1,hr
published,1,hr
apr,1,hr
submit,1,hr
full,1,hr
condition,1,hr
access,1,hr
use,1,hr
abstract,1,hr
occupation,1,hr
operated,1,hr
recently,1,hr
meaning,1,hr
'place',1,hr
'home',1,hr
sensitively,1,hr
particular,1,hr
order,1,hr
acting,1,hr
following,1,hr
initial,1,hr
'discovery',1,hr
dutch,1,hr
ultimately,1,hr
matthew,1,hr
explored,1,hr
later,1,hr
sea-borne,1,hr
party,1,hr
free,1,hr
british,1,hr
colony,1,hr
explorer,1,hr
edward,1,hr
john,1,hr
eyre,1,hr
frequented,1,hr
trading,1,hr
ship,1,hr
drover,1,hr
servicing,1,hr
grazing,1,hr
soon,1,hr
supply,1,hr
brought,1,hr
sea,1,hr
pastoral,1,hr
export,1,hr
wool,1,hr
distinct,1,hr
groups*,1,hr
accompanied,1,hr
lack,1,hr
understanding,1,hr
appreciation,1,hr
confiscation,1,hr
introduced,1,hr
disease,1,hr
resulting,1,hr
negative,1,hr
persecution,1,hr
ignored,1,hr
forgotten,1,hr
white,1,hr
assimilation,1,hr
move,1,hr
intellect,1,hr
ibid,1,hr
mulvaney,1,hr
kamminga,1,hr
prehistory,1,hr
allen,1,hr
unwin,1,hr
voyage,1,hr
terra,1,hr
australis,1,hr
london,1,hr
solid,1,hr
town,1,hr
pub,1,hr
hemming,1,hr
clark,1,hr
survival,1,hr
wakefield,1,hr
bird,1,hr
milsons,1,hr
random,1,hr
th,1,hr
century,1,hr
aborigine,1,hr
involving,1,hr
removal,1,hr
carried,1,hr
approval,1,hr
open,1,hr
assembly,1,hr
basis,1,hr
growing,1,hr
live,1,hr
came,1,hr
arabana,1,hr
gugada,1,hr
pitjantjatjara,1,hr
adynyamathanha,1,hr
challenge,1,hr
develops,1,hr
treatment,1,hr
tie,1,hr
subsequent,1,hr
background,1,hr
outskirt,1,hr
lie,1,hr
head,1,hr
foothill,1,hr
km,1,hr
deliberately,1,hr
selected,1,hr
close,1,hr
camping,1,hr
hinterland,1,hr
tidal,1,hr
flat,1,hr
affords,1,hr
as-,1,hr
gateway,1,hr
traditionally,1,hr
crossroad,1,hr
traveller,1,hr
moving,1,hr
west,1,hr
amewara,1,hr
'road,1,hr
derived,1,hr
beneath,1,hr
milky,1,hr
jimmy,1,hr
captain,1,hr
ex-police,1,hr
tracker,1,hr
oodnadatta,1,hr
meant,1,hr
road,1,hr
'that,1,hr
god,1,hr
u,1,hr
country',1,hr
heaven',1,hr
eventually,1,hr
room,1,hr
earliest,1,hr
appear,1,hr
two,1,hr
worked,1,hr
periodically,1,hr
camped,1,hr
shore,1,hr
salt,1,hr
lake,1,hr
eventual,1,hr
concerned,1,hr
welfare,1,hr
passed,1,hr
firstly,1,hr
queensland,1,hr
belong,1,hr
language,1,hr
pitjanjatjara,1,hr
inquiry,1,hr
separation,1,hr
carter,1,hr
secondly,1,hr
surrounding,1,hr
thirdly,1,hr
sometimes,1,hr
left,1,hr
usually,1,hr
unable,1,hr
look,1,hr
reason,1,hr
respite,1,hr
schooling,1,hr
ranged,1,hr
teenager,1,hr
boy,1,hr
girl,1,hr
separate,1,hr
baby,1,hr
come,1,hr
approach,1,hr
supported,1,hr
value,1,hr
thatheritage,1,hr
broader,1,hr
reflection,1,hr
unlike,1,hr
others,1,hr
elsewhere,1,hr
discouraged,1,hr
homeland,1,hr
permitted,1,hr
retention,1,hr
permit,1,hr
ceremony,1,hr
take,1,hr
given,1,hr
work,1,hr
sport,1,hr
religious,1,hr
instruction,1,hr
ordered,1,hr
relatively,1,hr
teaching,1,hr
daily,1,hr
routine,1,hr
staying,1,hr
handbook,1,hr
initiative,1,hr
recognition,1,hr
canberra,1,hr
institute,1,hr
caring,1,hr
accommodate,1,hr
large,1,hr
children's,1,hr
supervised,1,hr
semi-enclosed,1,hr
quadrangle,1,hr
regular,1,hr
prayer,1,hr
service,1,hr
still,1,hr
disrepair,1,hr
whether,1,hr
old,1,hr
considered,1,hr
offering,1,hr
insight,1,hr
set,1,hr
composed,1,hr
